query_num,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,average
3.1.3,115,109,106,97,98,104,101,268,129,96,101,101,174,99,97,115,103,130,152,124,120.95
3.1.4,504,551,608,427,416,640,447,418,458,420,469,421,425,430,446,412,421,429,486,441,463.45
3.2.1,8,8,11,8,9,7,8,7,8,9,9,7,7,7,7,7,7,11,9,10,8.2
3.3.2,1902,2300,1919,1779,2086,1869,2013,2182,1814,2094,2020,1825,1908,1944,2053,1772,1866,2057,1779,1832,1950.7
3.3.3,2779,2786,2739,2703,2556,2468,2548,2679,2791,2549,2606,2629,2599,2626,2475,2493,2638,2821,2552,2577,2630.7
3.4.2,487,509,587,492,606,691,480,483,552,494,484,531,499,537,594,499,492,629,489,480,530.75
3.5.2,962,985,1007,1188,956,984,963,927,930,964,1180,969,955,1176,931,970,1085,928,934,962,997.8
3.6.1,852,784,928,787,773,758,866,803,810,777,724,871,768,778,860,796,731,834,735,758,799.65
3.7,96,95,103,88,98,91,103,105,88,92,101,94,148,86,103,91,109,93,107,107,99.9
